fonte: 190, destino: 82, peso: 1
fonte: 224, destino: 512, peso: 5
fonte: 864, destino: 272, peso: 7
fonte: 224, destino: 225, peso: 7
fonte: 806, destino: 208, peso: 8
fonte: 132, destino: 842, peso: 8
fonte: 578, destino: 210, peso: 9
fonte: 741, destino: 848, peso: 12
fonte: 519, destino: 912, peso: 14
fonte: 520, destino: 51, peso: 2
fonte: 520, destino: 274, peso: 3
fonte: 462, destino: 684, peso: 14
fonte: 741, destino: 639, peso: 17
fonte: 742, destino: 619, peso: 14
fonte: 257, destino: 33, peso: 17
fonte: 641, destino: 990, peso: 18
fonte: 257, destino: 252, peso: 18
fonte: 257, destino: 830, peso: 14
fonte: 369, destino: 202, peso: 19
fonte: 369, destino: 36, peso: 6
fonte: 578, destino: 461, peso: 21
fonte: 462, destino: 84, peso: 21
fonte: 807, destino: 135, peso: 22
fonte: 742, destino: 472, peso: 22
fonte: 743, destino: 517, peso: 21
fonte: 744, destino: 520, peso: 20
fonte: 710, destino: 288, peso: 24
fonte: 967, destino: 500, peso: 25
fonte: 967, destino: 930, peso: 13
fonte: 462, destino: 168, peso: 25
fonte: 462, destino: 26, peso: 21
fonte: 931, destino: 394, peso: 26
fonte: 931, destino: 129, peso: 16
fonte: 191, destino: 850, peso: 26
fonte: 191, destino: 109, peso: 20
fonte: 191, destino: 647, peso: 24
fonte: 191, destino: 333, peso: 5
fonte: 192, destino: 139, peso: 22
fonte: 192, destino: 174, peso: 19
fonte: 967, destino: 399, peso: 28
fonte: 520, destino: 561, peso: 28
fonte: 339, destino: 958, peso: 30
fonte: 340, destino: 624, peso: 29
fonte: 341, destino: 317, peso: 7
fonte: 341, destino: 737, peso: 27
fonte: 341, destino: 445, peso: 22
fonte: 341, destino: 51, peso: 17
fonte: 192, destino: 779, peso: 31
fonte: 192, destino: 622, peso: 28
fonte: 895, destino: 861, peso: 32
fonte: 896, destino: 482, peso: 22
fonte: 897, destino: 905, peso: 13
fonte: 897, destino: 299, peso: 24
fonte: 430, destino: 907, peso: 32
fonte: 431, destino: 732, peso: 26
fonte: 432, destino: 6, peso: 9
fonte: 433, destino: 594, peso: 31
fonte: 434, destino: 908, peso: 1
fonte: 434, destino: 165, peso: 12
fonte: 435, destino: 738, peso: 29
fonte: 435, destino: 192, peso: 21
fonte: 435, destino: 343, peso: 7
fonte: 133, destino: 384, peso: 33
fonte: 133, destino: 790, peso: 4
fonte: 898, destino: 385, peso: 34
fonte: 898, destino: 565, peso: 19
fonte: 898, destino: 370, peso: 32
fonte: 899, destino: 113, peso: 30
fonte: 899, destino: 424, peso: 15
fonte: 899, destino: 71, peso: 10
fonte: 899, destino: 466, peso: 32
fonte: 899, destino: 66, peso: 27
fonte: 900, destino: 402, peso: 24
fonte: 901, destino: 823, peso: 11
fonte: 901, destino: 963, peso: 24
fonte: 284, destino: 755, peso: 34
fonte: 284, destino: 422, peso: 27
fonte: 284, destino: 403, peso: 10
fonte: 284, destino: 604, peso: 33
fonte: 285, destino: 466, peso: 14
fonte: 435, destino: 940, peso: 35
fonte: 436, destino: 361, peso: 29
fonte: 436, destino: 530, peso: 21
fonte: 436, destino: 12, peso: 16
fonte: 436, destino: 938, peso: 23
fonte: 437, destino: 469, peso: 18
fonte: 160, destino: 93, peso: 35
fonte: 161, destino: 831, peso: 29
fonte: 161, destino: 204, peso: 15
fonte: 162, destino: 431, peso: 8
fonte: 163, destino: 95, peso: 12
fonte: 163, destino: 113, peso: 16
fonte: 164, destino: 537, peso: 9
fonte: 164, destino: 953, peso: 12
fonte: 164, destino: 503, peso: 24
fonte: 165, destino: 518, peso: 33
fonte: 166, destino: 641, peso: 2
fonte: 166, destino: 530, peso: 29
fonte: 167, destino: 256, peso: 11
fonte: 167, destino: 235, peso: 4
fonte: 35, destino: 266, peso: 35
fonte: 35, destino: 444, peso: 20
fonte: 36, destino: 537, peso: 28
fonte: 36, destino: 830, peso: 11
fonte: 37, destino: 770, peso: 34
fonte: 642, destino: 599, peso: 36
fonte: 642, destino: 974, peso: 17
fonte: 642, destino: 218, peso: 10
fonte: 642, destino: 767, peso: 9
fonte: 341, destino: 447, peso: 37
fonte: 342, destino: 608, peso: 25
fonte: 864, destino: 172, peso: 38
fonte: 438, destino: 635, peso: 38
fonte: 438, destino: 182, peso: 17
fonte: 439, destino: 418, peso: 12
fonte: 439, destino: 520, peso: 11
fonte: 439, destino: 372, peso: 29
fonte: 440, destino: 95, peso: 3
fonte: 440, destino: 777, peso: 22
fonte: 440, destino: 699, peso: 28
fonte: 96, destino: 384, peso: 38
fonte: 96, destino: 477, peso: 36
fonte: 96, destino: 533, peso: 6
fonte: 97, destino: 294, peso: 21
fonte: 97, destino: 570, peso: 35
fonte: 98, destino: 467, peso: 33
fonte: 98, destino: 976, peso: 8
fonte: 98, destino: 353, peso: 1
fonte: 99, destino: 75, peso: 23
fonte: 99, destino: 521, peso: 23
fonte: 99, destino: 663, peso: 5
fonte: 1, destino: 577, peso: 38
fonte: 1, destino: 611, peso: 1
fonte: 744, destino: 88, peso: 39
fonte: 744, destino: 659, peso: 23
fonte: 745, destino: 889, peso: 26
fonte: 710, destino: 848, peso: 39
fonte: 711, destino: 128, peso: 10
fonte: 675, destino: 144, peso: 39
fonte: 676, destino: 605, peso: 6
fonte: 676, destino: 260, peso: 32
fonte: 677, destino: 409, peso: 18
fonte: 285, destino: 306, peso: 39
fonte: 285, destino: 530, peso: 13
fonte: 835, destino: 681, peso: 40
fonte: 835, destino: 222, peso: 26
fonte: 835, destino: 410, peso: 33
fonte: 836, destino: 504, peso: 17
fonte: 837, destino: 879, peso: 14
fonte: 837, destino: 767, peso: 12
fonte: 745, destino: 136, peso: 40
fonte: 678, destino: 540, peso: 40
fonte: 678, destino: 974, peso: 9
fonte: 678, destino: 28, peso: 15
fonte: 579, destino: 665, peso: 40
fonte: 579, destino: 875, peso: 25
fonte: 580, destino: 664, peso: 31
fonte: 580, destino: 198, peso: 12
fonte: 865, destino: 651, peso: 41
fonte: 865, destino: 980, peso: 29
fonte: 838, destino: 143, peso: 41
fonte: 838, destino: 979, peso: 25
fonte: 678, destino: 922, peso: 41
fonte: 607, destino: 124, peso: 41
fonte: 607, destino: 764, peso: 25
fonte: 607, destino: 762, peso: 16
fonte: 608, destino: 737, peso: 8
fonte: 608, destino: 281, peso: 6
fonte: 609, destino: 867, peso: 37
fonte: 609, destino: 311, peso: 36
fonte: 609, destino: 881, peso: 24
fonte: 369, destino: 846, peso: 41
fonte: 257, destino: 394, peso: 41
fonte: 257, destino: 140, peso: 24
fonte: 258, destino: 136, peso: 25
fonte: 258, destino: 875, peso: 11
fonte: 258, destino: 110, peso: 34
fonte: 258, destino: 141, peso: 32
fonte: 258, destino: 814, peso: 36
fonte: 259, destino: 411, peso: 8
fonte: 259, destino: 626, peso: 25
fonte: 259, destino: 357, peso: 7
fonte: 259, destino: 708, peso: 41
fonte: 259, destino: 600, peso: 24
fonte: 260, destino: 299, peso: 3
fonte: 260, destino: 5, peso: 2
fonte: 260, destino: 219, peso: 10
fonte: 260, destino: 427, peso: 5
fonte: 261, destino: 284, peso: 17
fonte: 261, destino: 449, peso: 3
fonte: 261, destino: 195, peso: 26
fonte: 261, destino: 124, peso: 21
fonte: 262, destino: 354, peso: 29
fonte: 262, destino: 529, peso: 31
fonte: 65, destino: 238, peso: 41
fonte: 66, destino: 892, peso: 40
fonte: 66, destino: 926, peso: 30
fonte: 66, destino: 134, peso: 33
fonte: 66, destino: 950, peso: 27
fonte: 66, destino: 24, peso: 36
fonte: 67, destino: 940, peso: 6
fonte: 67, destino: 387, peso: 22
fonte: 67, destino: 313, peso: 41
fonte: 67, destino: 5, peso: 8
fonte: 68, destino: 662, peso: 3
fonte: 68, destino: 150, peso: 2
fonte: 68, destino: 948, peso: 28
fonte: 68, destino: 484, peso: 31
fonte: 902, destino: 519, peso: 42
fonte: 902, destino: 570, peso: 16
fonte: 902, destino: 328, peso: 1
fonte: 903, destino: 992, peso: 5
fonte: 904, destino: 489, peso: 10
fonte: 262, destino: 447, peso: 42
fonte: 262, destino: 537, peso: 18
fonte: 262, destino: 853, peso: 27
fonte: 263, destino: 839, peso: 8
